trait,CHR,S1QC,S2QC,S3QC,S4QC,S5QC,S6QC,S7QC,S8QC,total_QC,S1LD,S2LD,S3LD,S4LD,S5LD,S6LD,S7LD,S8LD,total_LD,num_CHR,seq_order
si,1,898,2507,9637,29653,83964,141855,548730,1031901,1849145,16,56,385,1445,4431,7268,22221,31511,67333,1,1
si,2,1062,2350,12770,38716,102030,166533,597005,1096596,2017062,18,77,497,1739,4798,7759,22418,31710,69016,2,2
si,3,787,2432,11111,32428,85107,139860,502468,920128,1694321,11,63,413,1391,3965,6465,19331,27345,58984,3,3
si,4,480,1279,6737,24226,74822,128761,498374,941095,1675774,8,31,252,1099,3492,5847,18148,25912,54789,4,4
si,5,485,1687,6963,22884,67678,114412,447450,839031,1500590,10,52,298,1102,3316,5551,17327,24823,52479,5,5
si,6,450,1764,8194,27756,79125,131576,471630,864068,1584563,12,44,281,1157,3420,5592,16525,23436,50467,6,6
si,7,443,1582,6974,22366,63462,106713,412380,761980,1375900,10,42,291,1117,3243,5309,15879,22564,48455,7,7
si,8,181,823,4772,19019,59410,100544,380885,707512,1273146,7,22,221,1000,3006,4931,14750,21000,44937,8,8
si,9,25,725,4062,14584,45120,77229,299858,557645,999248,5,24,186,827,2538,4207,12864,18478,39129,9,9
si,10,652,1449,5101,16852,52736,90862,351798,659810,1179260,11,33,213,959,2851,4685,14367,20472,43591,10,10
si,11,505,971,5947,19608,58134,96946,355736,644268,1182115,11,34,256,974,2797,4659,13917,19722,42370,11,11
si,12,34,401,3465,14901,48160,84966,334258,628572,1114757,4,18,189,819,2584,4357,13678,19789,41438,12,12
si,13,60,346,3757,12204,37300,65015,251847,475016,845545,3,23,161,637,2054,3377,10445,14957,31657,13,13
si,14,5,498,2571,10748,34267,60091,230514,427053,765747,1,15,141,597,1887,3099,9317,13312,28369,14,14
si,15,358,769,2575,9186,29171,50830,197740,375590,666219,6,22,124,503,1596,2694,8375,12248,25568,15,15
si,16,30,540,3132,11415,33790,57023,219586,403863,729379,4,21,183,712,1945,3196,9705,13935,29701,16,16
si,17,23,399,3121,11620,31230,51999,194845,365677,658914,3,13,101,480,1541,2606,8458,12489,25691,17,17
si,18,14,498,2921,9828,30505,52152,198609,370903,665430,4,20,143,574,1701,2858,9101,13055,27456,18,18
si,19,2,71,821,5826,21403,38653,160102,306515,533393,1,6,75,390,1319,2258,7028,10152,21229,19,19
si,20,67,336,1751,7250,21845,37647,152996,289784,511676,3,10,80,399,1364,2269,7670,11081,22876,20,20
si,21,2,40,1328,4210,13143,23159,94073,179287,315242,1,5,52,231,790,1367,4470,6502,13418,21,21
si,22,2,179,815,3366,12741,22380,94814,181222,315519,1,7,40,223,786,1352,4370,6523,13302,22,22
si,Total,6565,21646,108525,368646,1085143,1839206,6995698,13027516,23452945,150,638,4582,18375,55424,91706,280364,401016,852255,0,23
ai,1,0,68,2818,15819,62236,117897,541484,1050270,1790592,0,7,166,1031,3880,6783,22128,31418,65413,1,24
ai,2,292,537,3836,19709,74185,135960,587465,1115507,1937491,3,10,225,1239,4369,7286,22382,31636,67150,2,25
ai,3,63,247,2526,15588,62825,116909,494184,936996,1629338,1,10,183,1030,3646,6208,19238,27354,57670,3,26
ai,4,3,326,2198,13533,55773,107540,491591,956626,1627590,1,10,129,892,3279,5708,18138,25980,54137,4,27
ai,5,0,6,1738,12989,52873,99707,443467,853872,1464652,0,4,132,859,3178,5481,17458,24775,51887,5,28
ai,6,0,181,1921,12521,52480,98889,450587,880787,1497366,0,6,143,822,2973,5130,16459,23540,49073,6,29
ai,7,0,25,2064,11482,46972,89346,399541,776785,1326215,0,6,151,846,2922,5028,15803,22554,47310,7,30
ai,8,5,140,1432,9109,41057,78212,366426,721727,1218108,1,6,99,672,2601,4463,14616,20960,43418,8,31
ai,9,0,11,946,7709,34679,65735,294334,571355,974769,0,5,101,657,2346,4008,12932,18380,38429,9,32
ai,10,0,43,870,8315,38073,73469,343299,672512,1136581,0,4,102,687,2544,4445,14222,20440,42444,10,33
ai,11,0,20,1237,10428,40624,77857,342300,655648,1128114,0,3,116,718,2590,4416,13834,19710,41387,11,34
ai,12,0,39,1496,9383,38687,73221,332207,641757,1096790,0,5,107,697,2556,4293,13892,19805,41355,12,35
ai,13,0,26,1277,7253,29547,54725,247726,482755,823309,0,3,85,499,1838,3230,10360,14908,30923,13,36
ai,14,0,2,642,6314,26812,50511,224494,434252,743027,0,0,72,512,1684,2963,9293,13349,27873,14,37
ai,15,1,14,775,5570,23412,44040,197850,383523,655185,1,5,64,426,1574,2663,8600,12310,25643,15,38
ai,16,0,1,721,6088,25844,49076,212632,409997,704359,0,1,85,532,1853,3181,9833,14002,29487,16,39
ai,17,20,57,927,6025,22674,42427,191982,370824,634936,1,2,82,461,1534,2647,8735,12502,25964,17,40
ai,18,0,57,1211,5989,23213,43524,194387,377969,646350,0,3,90,431,1588,2788,9131,13036,27067,18,41
ai,19,0,46,438,3459,16797,32823,155737,310173,519473,0,1,44,299,1136,1982,6975,10178,20615,19,42
ai,20,0,11,479,4050,17555,33468,152207,294245,502015,0,1,43,355,1279,2290,7593,11059,22620,20,43
ai,21,0,0,138,1818,9650,19370,93359,183504,307839,0,0,23,188,775,1351,4542,6483,13362,21,44
ai,22,0,1,372,2571,10280,19663,93653,185085,311625,0,0,28,199,739,1302,4418,6517,13203,22,45
ai,Total,384,1858,30062,195722,806248,1524369,6850912,13266169,22675724,8,92,2270,14052,50884,87646,280582,400896,836430,0,46
cpd,1,2,232,3077,17085,67428,125772,547876,1050545,1812017,1,10,184,1110,3979,6759,21944,31418,65405,1,47
cpd,2,0,43,3090,17304,68028,129636,577958,1116431,1912490,0,10,205,1114,4092,7145,22188,31678,66432,2,48
cpd,3,89,367,4027,17955,61264,111653,485697,937783,1618835,2,10,199,1096,3587,6112,19258,27330,57594,3,49
cpd,4,25,477,2941,14949,58589,109107,494742,957180,1638010,2,12,156,892,3195,5536,18223,25954,53970,4,50
cpd,5,0,17,1858,12848,54077,102045,447601,854960,1473406,0,4,134,910,3175,5481,17319,24672,51695,5,51
cpd,6,7,85,2355,13233,55471,103830,457377,881810,1514168,1,7,126,865,3108,5238,16566,23502,49413,6,52
cpd,7,129,222,2114,14282,53127,96356,405495,777421,1349146,1,9,148,798,2864,4963,15880,22540,47203,7,53
cpd,8,251,403,2275,13139,47533,87903,379379,722369,1253252,7,12,140,774,2768,4696,14788,21059,44244,8,54
cpd,9,30,69,1796,8688,33985,64445,294154,571707,974874,4,11,131,649,2359,4010,12912,18434,38510,9,55
cpd,10,0,92,1542,10529,41126,76819,348031,672911,1151050,0,2,112,731,2561,4432,14266,20503,42607,10,56
cpd,11,47,319,2078,10295,41868,77677,339509,655999,1127792,5,12,130,723,2529,4342,13844,19707,41292,11,57
cpd,12,0,48,1382,8913,38181,73270,330203,642649,1094646,0,5,116,661,2404,4156,13763,19843,40948,12,58
cpd,13,0,91,927,7096,30124,56973,251728,483335,830274,0,5,86,529,1861,3202,10343,14863,30889,13,59
cpd,14,0,33,1322,6631,26579,50070,222474,434826,741935,0,4,74,458,1668,2913,9368,13397,27882,14,60
cpd,15,1031,1171,2354,7395,25938,47119,201092,384214,670314,36,46,136,504,1630,2734,8533,12313,25932,15,61
cpd,16,47,188,1879,7639,27182,49765,215040,410070,711810,2,9,100,513,1764,3078,9772,14045,29283,16,62
cpd,17,0,11,859,4673,21239,40395,188638,371174,626989,0,2,57,387,1457,2519,8519,12476,25417,17,63
cpd,18,0,53,1172,6211,24804,44936,195940,378367,651483,0,5,89,498,1679,2845,9097,13019,27232,18,64
cpd,19,394,737,2150,6668,21807,38430,160876,310344,541406,21,33,104,433,1331,2247,7102,10198,21469,19,65
cpd,20,14,150,876,4664,18663,34563,151783,294441,505154,2,6,67,379,1299,2258,7556,11077,22644,20,66
cpd,21,0,2,493,2350,10279,19231,91600,183808,307763,0,1,35,167,676,1231,4475,6510,13095,21,67
cpd,22,0,0,303,2414,10367,20089,93900,185105,312178,0,0,19,187,704,1273,4401,6513,13097,22,68
cpd,Total,2066,4810,40870,214961,837659,1560084,6881093,13277449,22818992,84,215,2548,14378,50690,87170,280117,401051,836253,0,69
sc,1,0,29,2278,13591,59250,112211,511618,990550,1689527,0,4,151,977,3914,6795,22074,31573,65488,1,70
sc,2,0,22,2610,16161,65613,124818,549857,1056808,1815889,0,5,201,1150,4075,7068,22480,31852,66831,2,71
sc,3,0,61,1522,11207,51506,99464,455146,890512,1509418,0,4,132,961,3484,6031,19292,27465,57369,3,72
sc,4,0,378,1451,11292,52385,100419,468492,910375,1544792,0,1,99,839,3265,5793,18360,26097,54454,4,73
sc,5,0,19,1552,11294,48865,93079,416619,813216,1384644,0,2,143,846,3115,5441,17429,24835,51811,5,74
sc,6,0,55,1172,11622,49944,94808,431955,837392,1426948,0,5,115,792,2976,5096,16639,23679,49302,6,75
sc,7,0,2,1262,9551,41860,79668,374725,736810,1243878,0,2,125,741,2747,4794,15856,22784,47049,7,76
sc,8,0,18,1358,8479,39193,75795,350454,686535,1161832,0,5,112,741,2742,4668,14772,21031,44071,8,77
sc,9,49,340,1377,7158,30319,59738,276404,540025,915410,6,13,96,613,2334,3995,12935,18466,38458,9,78
sc,10,0,0,1144,8407,36516,69946,320633,635982,1072628,0,0,106,707,2545,4427,14432,20630,42847,10,79
sc,11,6,78,1342,8813,34238,66639,318192,621285,1050593,1,6,90,605,2344,4137,13858,19878,40919,11,80
sc,12,0,10,758,7355,34240,67226,311368,606311,1027268,0,1,93,654,2500,4346,13881,19878,41353,12,81
sc,13,0,0,470,5289,25132,49686,233780,457816,772173,0,0,62,472,1816,3200,10443,15003,30996,13,82
sc,14,0,130,792,5527,24180,46376,209990,409609,696604,0,1,60,405,1584,2811,9379,13508,27748,14,83
sc,15,59,292,1414,5640,20947,39247,181998,360453,610050,3,6,67,419,1508,2600,8572,12373,25548,15,84
sc,16,0,1,495,4833,21715,42158,196129,387105,652436,0,1,73,432,1672,2922,9687,14020,28807,16,85
sc,17,0,2,598,4939,22937,41048,177202,346068,592794,0,2,53,383,1495,2616,8654,12547,25750,17,86
sc,18,0,4,542,4441,20828,40192,183443,358537,607987,0,0,56,417,1603,2769,9134,13094,27073,18,87
sc,19,57,149,840,3934,16381,31153,146820,289386,488720,5,17,74,348,1239,2150,7005,10240,21078,19,88
sc,20,20,108,684,3422,15098,28404,141271,279408,468415,3,8,48,338,1273,2211,7529,11193,22603,20,89
sc,21,0,1,208,1745,9260,18095,87310,173767,290386,0,0,36,197,783,1350,4493,6602,13461,21,90
sc,22,10,265,1627,3653,11756,21356,89644,174076,302387,1,5,49,246,820,1393,4496,6534,13544,22,91
sc,Total,201,1964,25496,168353,732163,1401526,6433050,12562026,21324779,19,88,2041,13283,49834,86613,281400,403282,836560,0,92
dpw,1,2,297,4481,18634,65086,119936,534222,1045907,1788565,1,19,188,1147,3919,6791,21930,31459,65454,1,93
dpw,2,217,1111,6932,24214,78440,139223,577570,1107792,1935499,9,41,315,1351,4247,7180,22381,31752,67276,2,94
dpw,3,528,946,4134,18768,64841,113984,481918,929662,1614781,3,18,193,1009,3461,5950,19173,27327,57134,3,95
dpw,4,744,1437,4872,21466,68285,120599,494305,949852,1661560,21,41,259,1164,3584,5914,18280,26037,55300,4,96
dpw,5,3,374,3201,15492,57168,102507,436366,847271,1462382,2,15,179,955,3213,5403,17343,24792,51902,5,97
dpw,6,0,19,2559,16068,57512,103991,448522,873169,1501840,0,6,131,864,2984,5150,16490,23456,49081,6,98
dpw,7,309,827,3513,14235,50971,92583,399787,772182,1334407,2,16,193,919,2959,5038,15874,22559,47560,7,99
dpw,8,0,367,2831,13223,47612,87285,372220,718035,1241573,0,13,148,834,2876,4767,14745,20987,44370,8,100
dpw,9,1,247,2240,11131,38853,68459,290281,566063,977275,1,9,146,696,2364,3928,12754,18341,38239,9,101
dpw,10,0,260,1587,10030,42603,79402,343282,667947,1145111,0,4,119,711,2584,4425,14287,20577,42707,10,102
dpw,11,334,1019,3608,14578,46956,81502,336772,651833,1136602,6,22,152,751,2510,4318,13783,19654,41196,11,103
dpw,12,32,346,2673,12603,43666,77677,328450,637249,1102696,1,21,153,731,2443,4207,13755,19803,41114,12,104
dpw,13,0,77,1486,7801,29898,56063,244663,478164,818152,0,5,103,554,1891,3192,10376,14968,31089,13,105
dpw,14,69,163,1116,7103,28673,52199,223680,432097,745100,3,7,83,464,1636,2921,9324,13427,27865,14,106
dpw,15,0,130,2182,7122,24361,43798,194266,380216,652075,0,8,82,459,1528,2614,8478,12327,25496,15,107
dpw,16,305,629,2690,9392,30114,53104,213666,410772,720672,8,23,149,603,1897,3168,9856,14035,29739,16,108
dpw,17,2198,3201,6070,11559,28756,48234,192684,372508,665210,3,13,96,451,1574,2624,8669,12518,25948,17,109
dpw,18,0,196,1726,6413,23521,43131,190791,374843,640621,0,9,87,404,1550,2728,9061,13098,26937,18,110
dpw,19,104,138,772,4081,17087,32851,155420,314998,525451,1,4,55,372,1243,2146,6969,10171,20961,19,111
dpw,20,1,76,1093,5778,20989,37056,153692,293686,512371,1,3,65,406,1352,2367,7623,11047,22864,20,112
dpw,21,0,2,313,2151,9471,18533,90283,182071,302824,0,1,27,183,750,1309,4483,6530,13283,21,113
dpw,22,0,62,849,3016,11552,21060,94228,186676,317443,0,4,51,213,748,1331,4460,6522,13329,22,114
dpw,Total,4847,11924,60928,254858,886415,1593177,6797068,13192993,22802210,62,302,2974,15241,51313,87471,280094,401387,838844,0,115
